claim_id,policy_id,claim_date,claim_amount,claim_type,description
F-2001,PF-900,2025-03-01,27000,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2002,PF-900,2025-03-01,32000,property,Duplicate submission same day; repeat filing flagged; exaggerated narrative mentions staged loss.
F-2003,PF-901,2025-03-02,27950,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2004,PF-902,2025-03-03,28900,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2005,PF-903,2025-03-04,29850,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2006,PF-904,2025-03-05,30800,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2007,PF-905,2025-03-06,31750,auto,Major collision payout request; staged accident suspected per witness statements.
F-2008,PF-906,2025-03-07,32700,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2009,PF-907,2025-03-08,33650,travel,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2010,PF-908,2025-03-09,34600,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2011,PF-909,2025-03-10,35550,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2012,PF-910,2025-03-11,36500,health,Major collision payout request; staged accident suspected per witness statements.
F-2013,PF-911,2025-03-12,37450,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2014,PF-912,2025-03-13,38400,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2015,PF-913,2025-03-14,39350,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2016,PF-914,2025-03-15,40300,health,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2017,PF-915,2025-03-16,41250,travel,Major collision payout request; staged accident suspected per witness statements.
F-2018,PF-916,2025-03-17,42200,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2019,PF-917,2025-03-18,43150,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2020,PF-918,2025-03-19,44100,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2021,PF-919,2025-03-20,45050,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2022,PF-920,2025-03-21,46000,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2023,PF-921,2025-03-22,46950,auto,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2024,PF-922,2025-03-23,47900,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2025,PF-923,2025-03-24,48850,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2026,PF-924,2025-03-25,49800,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2027,PF-925,2025-03-26,50750,auto,Major collision payout request; staged accident suspected per witness statements.
F-2028,PF-925,2025-03-26,56500,auto,Duplicate submission same day; repeat filing flagged; exaggerated narrative mentions staged loss.
F-2029,PF-926,2025-03-27,51700,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2030,PF-927,2025-03-28,52650,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2031,PF-928,2025-03-29,53600,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2032,PF-929,2025-03-30,27000,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2033,PF-930,2025-03-01,27950,health,Major collision payout request; staged accident suspected per witness statements.
F-2034,PF-931,2025-03-02,28900,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2035,PF-932,2025-03-03,29850,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2036,PF-933,2025-03-04,30800,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2037,PF-934,2025-03-05,31750,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2038,PF-935,2025-03-06,32700,travel,Major collision payout request; staged accident suspected per witness statements.
F-2039,PF-936,2025-03-07,33650,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2040,PF-937,2025-03-08,34600,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2041,PF-938,2025-03-09,35550,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2042,PF-939,2025-03-10,36500,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2043,PF-940,2025-03-11,37450,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2044,PF-941,2025-03-12,38400,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2045,PF-942,2025-03-13,39350,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2046,PF-943,2025-03-14,40300,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2047,PF-944,2025-03-15,41250,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2048,PF-945,2025-03-16,42200,auto,Major collision payout request; staged accident suspected per witness statements.
F-2049,PF-946,2025-03-17,43150,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2050,PF-947,2025-03-18,44100,travel,Repeat high dollar claim; police report pending; staged indicators present.
